,lrs,sig0,frac,popsize,mean_acc,std_acc
52,1.0,0.5235987755982988,0.25,30.0,0.8800000000000001,0.11661903789690602
53,1.0,0.5235987755982988,0.25,40.0,0.8600000000000001,0.07999999999999999
54,1.0,0.5235987755982988,0.25,50.0,0.8800000000000001,0.11661903789690603
55,1.0,0.5235987755982988,0.25,60.0,0.72,0.2315167380558045
56,1.0,0.5235987755982988,0.5,30.0,0.76,0.20591260281974003
57,1.0,0.5235987755982988,0.5,40.0,0.78,0.16
58,1.0,0.5235987755982988,0.5,50.0,0.7,0.1264911064067352
59,1.0,0.5235987755982988,0.5,60.0,0.82,0.11661903789690603
60,1.0,0.7853981633974483,0.1,30.0,0.8400000000000001,0.10198039027185571
61,1.0,0.7853981633974483,0.1,40.0,0.86,0.12000000000000001
62,1.0,0.7853981633974483,0.1,50.0,0.86,0.12000000000000001
63,1.0,0.7853981633974483,0.1,60.0,0.8399999999999999,0.16248076809271922
64,1.0,0.7853981633974483,0.25,30.0,0.72,0.19390719429665318
65,1.0,0.7853981633974483,0.25,40.0,0.74,0.1854723699099141
66,1.0,0.7853981633974483,0.25,50.0,0.8400000000000001,0.13564659966250536
67,1.0,0.7853981633974483,0.25,60.0,0.8200000000000001,0.039999999999999994
68,1.0,0.7853981633974483,0.5,30.0,0.8799999999999999,0.0748331477354788
69,1.0,0.7853981633974483,0.5,40.0,0.8,0.16733200530681513
70,1.0,0.7853981633974483,0.5,50.0,0.8,0.2280350850198276
71,1.0,0.7853981633974483,0.5,60.0,0.7200000000000001,0.24819347291981714
72,1.0,1.0,0.1,30.0,0.7999999999999999,0.10954451150103323
73,1.0,1.0,0.1,40.0,0.8800000000000001,0.11661903789690603
74,1.0,1.0,0.1,50.0,0.8799999999999999,0.0748331477354788
75,1.0,1.0,0.1,60.0,0.8800000000000001,0.19390719429665315
76,1.0,1.0,0.25,30.0,0.82,0.11661903789690603
77,1.0,1.0,0.25,40.0,0.9,0.06324555320336757
78,1.0,1.0,0.25,50.0,0.78,0.132664991614216
79,1.0,1.0,0.25,60.0,0.8400000000000001,0.12000000000000002
80,1.0,1.0,0.5,30.0,0.8200000000000001,0.11661903789690603
81,1.0,1.0,0.5,40.0,0.78,0.132664991614216
82,1.0,1.0,0.5,50.0,0.86,0.07999999999999999
83,1.0,1.0,0.5,60.0,0.72,0.14696938456699069
84,1.0,1.5707963267948966,0.1,30.0,0.62,0.17204650534085253
85,1.0,1.5707963267948966,0.1,40.0,0.5599999999999999,0.17435595774162696
86,1.0,1.5707963267948966,0.1,50.0,0.7000000000000001,0.1264911064067352
87,1.0,1.5707963267948966,0.1,60.0,0.8800000000000001,0.11661903789690602
88,1.0,1.5707963267948966,0.25,30.0,0.6200000000000001,0.132664991614216
89,1.0,1.5707963267948966,0.25,40.0,0.7600000000000001,0.10198039027185572
90,1.0,1.5707963267948966,0.25,50.0,0.7999999999999999,0.20976176963403032
91,1.0,1.5707963267948966,0.25,60.0,0.7999999999999999,0.1264911064067352
92,1.0,1.5707963267948966,0.5,30.0,0.7,0.1264911064067352
93,1.0,1.5707963267948966,0.5,40.0,0.72,0.13266499161421602
94,1.0,1.5707963267948966,0.5,50.0,0.76,0.048989794855663606
95,1.0,1.5707963267948966,0.5,60.0,0.8200000000000001,0.09797958971132717
96,1.5,0.5235987755982988,0.1,30.0,0.86,0.10198039027185571
97,1.5,0.5235987755982988,0.1,40.0,0.9,0.06324555320336757
